Book Id,Title,Author,average_rating,isbn,isbn13,language_code,num_pages,ratings_count,text_reviews_count,publication_date,publisher,genres
14941,To the Lighthouse,Virginia Woolf/Mark Hussey,3.78,0156030470,9780156030472,eng,242,514,59,8/1/2005,Mariner Books,"Classics;Fiction;Literature;Novels;European Literature,British Literature;Literature,20th Century;Feminism;Literary Fiction;Academic,School;Classics,Modern Classics"
10220,Death in the Andamans,M.M. Kaye,3.93,0312252811,9780312252816,eng,272,845,57,2/11/2000,Minotaur Books,"Mystery;Romance;Romance,Romantic Suspense;Fiction;Historical,Historical Fiction;Cultural,India;Historical;Mystery,Crime;Suspense;Cultural,Asia"
13399,Splinter Cell (Tom Clancy's Splinter Cell  #1),David  Michaels/Raymond Benson/Tom Clancy,3.85,0425201686,9780425201688,eng,355,10329,193,12/6/2004,Berkley,"Fiction;Thriller;Action;Spy Thriller,Espionage;War,Military Fiction;Suspense;Adventure;Novels;Thriller,Spy Thriller;War"
42434,Sandworms of Dune (Dune Chronicles #8),Brian Herbert/Kevin J. Anderson,3.64,076531293X,9780765312938,en-US,494,8486,273,8/7/2007,Tor Books,"Science Fiction;Fiction;Fantasy;Science Fiction Fantasy;Space,Space Opera;Audiobook;Classics;Space;Adventure;Epic"
29285,Make Way for McCloskey,Robert McCloskey/Leonard S. Marcus,4.46,067005934X,9780670059348,eng,144,129,8,10/21/2004,Viking Books for Young Readers,"Childrens,Picture Books;Childrens;Classics;Biography;Childrens,Pre K;Literature"
10080,Mary Queen of Scots and the Murder of Lord Darnley,Alison Weir,4.04,0712664564,9780712664561,eng,640,4947,119,2/5/2004,Pimlico,"History;Nonfiction;Biography;Historical;Cultural,Scotland;English History,Tudor Period;European Literature,British Literature;Crime,True Crime;Literature,16th Century;History,European History"
11670,Mr. Ives' Christmas,Oscar Hijuelos,3.76,0060927542,9780060927547,eng,256,949,128,12/23/2003,Harper Perennial,"Fiction;Holiday,Christmas;Religion;Novels;Literary Fiction;Holiday;Contemporary;New York;Spirituality;Christianity,Catholic"
31483,Sky The Blue Fairy (Rainbow Magic  #5),Daisy Meadows/Georgie Ripper,3.83,0439746841,9780439746847,en-US,80,2267,82,11/1/2005,Scholastic Paperbacks,"Fantasy;Childrens;Fiction;Childrens,Chapter Books;Paranormal,Fairies;Childrens,Middle Grade;Fantasy,Magic;Audiobook;Childrens,1st Grade;Fairies,Fae"
13105,The Tenth Insight: Holding the Vision (Celestine Prophecy  #2),James Redfield,3.64,0446674575,9780446674577,eng,256,9889,337,12/1/1998,Grand Central Publishing,"Fiction;Spirituality;Philosophy;Self Help;Spirituality,New Age;Fantasy;Adventure;Religion;Inspirational;Novels"
16188,Wideacre  (The Wideacre Trilogy  #1),Philippa Gregory,3.3,0743249291,9780743249294,eng,656,18944,1547,7/2/2003,Washington Square Press,"Historical,Historical Fiction;Fiction;Historical;Romance;European Literature,British Literature;Romance,Historical Romance;Literature,18th Century;Adult;Audiobook;Adult Fiction"
24768,Pretties (Uglies  #2),Scott Westerfeld,3.85,0689865392,9780689865398,eng,370,211060,8890,11/1/2005,Simon & Schuster Simon Pulse,"Young Adult;Science Fiction,Dystopia;Science Fiction;Fiction;Fantasy;Romance;Young Adult,Teen;Adventure;Apocalyptic,Post Apocalyptic;Science Fiction Fantasy"
17582,The Norton Anthology of Short Fiction,Richard Bausch,4.18,0393926117,9780393926118,en-US,1776,663,15,1/5/2006,W. W. Norton & Company,"Fiction;Short Stories;Anthologies;Literature;Classics;Reference;Academic,School;Anthologies,Collections;Literary Fiction;Teaching"
13138,Season of the Machete,James Patterson,3.25,0446600474,9780446600477,eng,341,5512,227,4/1/1995,Vision,"Mystery;Thriller;Fiction;Suspense;Thriller,Mystery Thriller;Mystery,Crime;Mystery,Murder Mystery;Adult;Audiobook;Horror"
15682,A Happy Death,Albert Camus/Richard Howard/Jean Sarocchi,3.82,0141186585,9780141186580,eng,144,6975,257,2/28/2002,Penguin Classics,"Fiction;Philosophy;Classics;Cultural,France;Literature;European Literature,French Literature;Novels;Literature,20th Century;Nobel Prize;Literary Fiction"
20517,Vicars of Christ: A History of the Popes,Charles A. Coulombe,3.94,0806523700,9780806523705,en-US,492,31,2,7/1/2003,Citadel,"History;Christianity,Catholic;Biography;Religion;Nonfiction;Religion,Theology;Christian"
33514,The Elements of Style,William Strunk Jr./E.B. White,4.19,0205313426,9780205313426,en-US,128,53669,2526,9/3/1999,Pearson,"Language,Writing;Nonfiction;Reference;Humanities,Language;Classics;Education;Self Help;Business;Academic,School;Textbooks"
32510,Shakespeare's Champion (Lily Bard  #2),Charlaine Harris,3.83,0425213102,9780425213100,eng,214,13896,537,12/5/2006,Berkley Books,"Mystery;Fiction;Mystery,Crime;Mystery,Cozy Mystery;Romance;Thriller,Mystery Thriller;Contemporary;Thriller;Audiobook;Adult"
24782,Taran Wanderer (The Chronicles of Prydain  #4),Lloyd Alexander,4.14,0805080511,9780805080513,eng,222,34770,840,5/16/2006,Square Fish,"Fantasy;Young Adult;Fiction;Childrens;Adventure;Childrens,Middle Grade;Classics;Science Fiction Fantasy;Fantasy,High Fantasy;Childrens,Juvenile"
41464,Moon in a Dewdrop: Writings of Zen Master Dogen,Dōgen/Kazuaki Tanahashi/Robert Aitken/Reb Anderson/Edward G. Brown/Norman Fischer/Arnold Kotler/Daniel Leighton/Lew Richmond/Katherine Thanas/Brian Unger/Mel Weitsman/Dan Welch/Philip Whalen/David    Schneider,4.28,086547186X,9780865471863,eng,356,997,27,10/31/1995,North Point Press,"Religion,Buddhism;Buddhism,Zen;Philosophy;Spirituality;Religion;Nonfiction;Cultural,Japan;Poetry;Asian Literature,Japanese Literature;Philosophy,Eastern Philosophy"
45101,The Mad Ship (Liveship Traders  #2),Robin Hobb,4.23,0006498868,9780006498865,eng,906,38753,893,2/4/2008,Harper Voyager,"Fantasy;Fiction;Fantasy,Epic Fantasy;Fantasy,High Fantasy;Fantasy,Dragons;Adventure;Science Fiction Fantasy;Adult;Fantasy,Magic;Adventure,Pirates"
